net,prg,Program.Type,globalGenre,NEWGenre,Serialized.Yes,Vs.LI,DVR.Lift,SVOD.Yes,Need to pull,
CBS,3,GV,Drama,Drama,1,Low,Low,0,GV,
CW,ALL OF US,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CW,90210,GD,Drama,Drama,1,Medium,Medium,1,GD,
NBC,1600 PENN,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CW,18 TO LIFE,CS,Comedy,Comedy,0,Low,Low,0,CS,
CBS,2 BROKE GIRLS,CS,Comedy,Comedy,0,High,Medium,0,CS,
NBC,30 ROCK,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
ABC,666 PARK AVE,GD,Drama,Drama,1,Low,Medium,1,GD,
NBC,A.D. BIBLE CONTINUES,GD,Drama,Drama,1,Medium,Low,0,GD,
NBC,ABOUT A BOY,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
CBS,ACCIDENTALLY ON PURPOSE,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
ABC,ACCORDING TO JIM,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CW,ALIENS IN AMERICA,CS,Comedy,Comedy,0,Low,Low,0,CS,
FOX,AMERICAN DAD,,Animation,Animation,0,Medium,Medium,1,EA,
FOX,ALMOST HUMAN,GD,Drama,Drama,1,Medium,High,0,GD,
CBS,AMAZING RACE,GV,Reality,Reality,1,Medium,Medium,1,GV,
CBS,AMERICAN BAKING COMP,GV,Reality,Reality,1,Medium,Low,0,GV,
ABC,AMERICAN CRIME,GD,Drama,Drama,1,Low,Medium,0,CS,
CW,AMERICA'S TOP MDL,GV,Reality,Reality,0,Medium,Medium,1,GV,
NBC,ANIMAL PRACTICE,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
NBC,AQUARIUS,GD,Drama,Drama,1,Medium,Low,0,GD,
NBC,ARE YOU THERE CHELSEA,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CW,ARROW,GD,Drama,Drama,1,Medium,Medium,1,GD,
ABC,"ASSETS, THE",GD,Drama,Drama,1,Medium,Low,1,GD,
ABC,"ASTRONAUT WIVES CLUB, THE",GD,Drama,Drama,1,Medium,Medium,0,GD,
NBC,A-TO-Z,CS,Comedy,Comedy,0,Medium,Low,0,CS,
NBC,AWAKE,GD,Drama,Drama,1,Medium,Medium,0,GD,
ABC,BACK IN THE GAME,CS,Comedy,Comedy,0,Low,Low,0,CS,
CW,BACKPACKERS,CS,Comedy,Comedy,0,Medium,Low,0,CS,
FOX,BACKSTROM,GD,Drama,Drama,0,Low,Medium,0,GD,
NBC,BAD JUDGE,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CBS,BAD TEACHER,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CBS,BATTLE CREEK,GD,Drama,Drama,0,Medium,Medium,1,GD,
CW,BEAUTIFUL LIFE,GD,Drama,Drama,1,Low,Low,0,GD,
CW,BEAUTY AND THE BEAST,GD,Drama,Drama,1,Medium,Low,1,GD,
NBC,BELIEVE,GD,Drama,Drama,1,Medium,Medium,1,GD,
FOX,BEN & KATE,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
NBC,BENT,CS,Comedy,Comedy,0,Medium,Low,0,CS,
NBC,BEST FRIENDS FOREVER,CS,Comedy,Comedy,0,Low,Low,0,CS,
ABC,BETRAYAL,GD,Drama,Drama,1,Low,Medium,0,GD,
ABC,BETTER OFF TED,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
ABC,BETTER WITH YOU,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CBS,"BIG BANG THEORY, THE",CS,Comedy,Comedy,0,High,High,0,CS,
CBS,BIG BROTHER,GV,Reality,Reality,1,High,Medium,0,GV,
ABC,BIG SHOTS,GD,Drama,Drama,1,Low,Medium,0,GD,
ABC,BLACK BOX,GD,Drama,Drama,0,Medium,Medium,0,GD,
ABC,BLACK-ISH,CS,Comedy,Comedy,0,Low,High,0,CS,
NBC,BLACKLIST,GD,Drama,Drama,1,Low,High,1,GD,
CBS,BLUE BLOODS,GD,Drama,Drama,0,Medium,Medium,1,GD,
ABC,BODY OF PROOF,GD,Drama,Drama,1,Medium,Medium,1,GD,
CW,REBA,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
ABC,BOSTON LEGAL,GD,Drama,Drama,1,Low,Medium,0,GD,
CW,BREAKING POINTE,GV,Reality,Reality,1,Medium,Low,0,GV,
CBS,"BRIEFCASE, THE",GV,Reality,Reality,0,Medium,Low,0,GV,
FOX,BROOKLYN NINE-NINE,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
FOX,BROTHERS,CS,Comedy,Comedy,0,Low,Low,0,CS,
ABC,BROTHERS & SISTERS,GD,Drama,Drama,1,Low,Medium,1,GD,
NBC,CAMP,GD,Drama,Drama,1,Low,Low,0,GD,
NBC,CAPE,GD,Drama,Drama,1,Medium,Medium,0,GD,
CW,CAPTURE,GD,Drama,Drama,1,Medium,Low,0,GD,
ABC,CARPOOLERS,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CW,CARRIE DIARIES,GD,Drama,Drama,1,Medium,Low,1,GD,
ABC,CASHMERE MAFIA,GD,Drama,Drama,1,Low,Medium,0,GD,
ABC,CASTLE,GD,Drama,Drama,0,Medium,High,0,GD,
CW,CATALINA,GV,Reality,Reality,0,Medium,Low,0,GV,
ABC,CHARLIE'S ANGELS,A,Drama,Drama,0,Medium,Medium,0,A,
NBC,CHASE,GD,Drama,Drama,1,Medium,Medium,0,GD,
NBC,CHICAGO FIRE,GD,Drama,Drama,0,Medium,High,0,GD,
FOX,SIMPSONS,,Animation,Animation,0,Medium,Medium,0,#N/A,Add
NBC,CHUCK,GD,Drama,Drama,1,Medium,Medium,1,GD,
CBS,COLD CASE,GD,Drama,Drama,0,Medium,Medium,0,GD,
ABC,COMBAT HOSPITAL,GD,Drama,Drama,0,Low,Medium,0,GD,
NBC,COMMUNITY,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
NBC,CONAN,GV,Variety,Variety,0,Medium,Medium,0,GV,
NBC,CONSTANTINE,GD,Drama,Drama,0,Medium,Medium,0,GD,
ABC,COUGAR TOWN,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CBS,"CRAZY ONES, THE",CS,Comedy,Comedy,0,Low,Medium,1,CS,
CBS,CRIMINAL MINDS,GD,Drama,Drama,0,High,High,1,GD,
NBC,CRISIS,GD,Drama,Drama,1,Medium,Medium,0,GD,
ABC,CRISTELA,CS,Comedy,Comedy,0,Medium,Low,1,CS,
NBC,CROSSBONES,GD,Drama,Drama,0,Medium,Medium,0,GD,
NBC,CROSSING LINES,GD,Drama,Drama,0,Medium,Low,0,GD,
CW,CROWNED,GV,Reality,Reality,0,Low,Low,0,GV,
NBC,CRUSOE,GD,Drama,Drama,1,Medium,Low,0,GD,
CBS,CSI,GD,Drama,Drama,0,Medium,High,1,GD,
CBS,CSI CYBER,GD,Drama,Drama,0,Medium,Medium,0,GD,
CBS,CSI MIAMI,GD,Drama,Drama,0,Medium,Medium,1,GD,
CBS,CSI NY,GD,Drama,Drama,0,Medium,Medium,1,GD,
CW,CULT,GD,Drama,Drama,1,Medium,Low,1,GD,
ABC,CUPID,GD,Drama,Drama,0,Low,Medium,0,GD,
NBC,DECEPTION,GD,Drama,Drama,1,Low,Medium,1,GD,
ABC,DEEP END,GD,Drama,Drama,0,Medium,Low,1,GD,
CBS,"DEFENDERS, THE",GD,Drama,Drama,0,Low,Medium,0,GD,
ABC,DEFYING GRAVITY,GD,Drama,Drama,1,Low,Medium,0,GD,
ABC,DESPERATE HOUSEWIVES,GD,Drama,Drama,1,High,High,1,GD,
CBS,DEXTER,GD,Drama,Drama,1,Medium,Medium,1,GD,
ABC,DIRTY SEXY MONEY,GD,Drama,Drama,1,Medium,Medium,1,GD,
NBC,DO NO HARM,GD,Drama,Drama,1,Medium,Low,0,GD,
CBS,DOGS IN THE CITY,GV,Reality,Reality,0,Medium,Low,0,GV,
FOX,DON'T FORGET THE LYRICS,GV,Reality,Reality,0,Medium,Low,0,GV,
ABC,DON'T TRUST THE B-APT 23,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
NBC,DRACULA,GD,Drama,Drama,1,Medium,Medium,0,GD,
CW,DREW CAREY,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CW,WAYANS BROS,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
ABC,EASTWICK,GD,Drama,Drama,1,Medium,Low,0,GD,
CW,EASY MONEY,GD,Drama,Drama,1,Low,Low,0,GD,
CBS,ELEMENTARY,GD,Drama,Drama,0,Medium,High,1,GD,
CBS,ELEVENTH HOUR,GD,Drama,Drama,0,Low,Medium,0,GD,
ABC,ELI STONE,GD,Drama,Drama,0,Medium,Medium,1,GD,
CW,EMILY OWENS MD,GD,Drama,Drama,1,Medium,Low,1,GD,
CW,EV HATES CHRIS,CS,Comedy,Comedy,0,Low,Low,1,CS,
NBC,EVENT,GD,Drama,Drama,1,Medium,Medium,1,GD,
CBS,"EX LIST, THE",GD,Drama,Drama,0,Medium,Medium,0,GD,
CBS,EXTANT,GD,Drama,Drama,1,Low,Medium,1,GD,
ABC,FAMILY TOOLS,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CW,FAMOUS IN 12,GV,Reality,Reality,0,Medium,Low,0,GV,
CW,FARMER WANTS A WIFE,GV,Reality,Reality,0,Medium,Low,0,GV,
NBC,FEAR ITSELF,GD,Drama,Drama,0,Low,Medium,0,GD,
ABC,FINAL WITNESS,GD,Drama,Drama,0,Medium,Low,0,GD,
NBC,FIRM,GD,Drama,Drama,1,Medium,Medium,0,GD,
CW,FLASH,GD,Drama,Drama,1,High,Medium,1,GD,
ABC,FLASHFORWARD,GD,Drama,Drama,1,High,Medium,0,GD,
CBS,FLASHPOINT,GD,Drama,Drama,0,Medium,Medium,1,GD,
CW,FLY GIRLS,GV,Reality,Reality,0,Low,High,0,GV,
FOX,"FOLLOWING, THE",GD,Drama,Drama,1,Medium,High,1,GD,
ABC,FOREVER,GD,Drama,Drama,1,Medium,Medium,0,GD,
ABC,"FORGOTTEN, THE",GD,Drama,Drama,1,Medium,Medium,0,GD,
NBC,FREE AGENTS,CS,Comedy,Comedy,0,Low,Low,1,CS,
ABC,FRESH OFF THE BOAT,CS,Comedy,Comedy,0,High,Medium,0,CS,
NBC,FRIDAY NIGHT LIGHTS,GD,Drama,Drama,1,Medium,Medium,1,GD,
NBC,FRIENDS WITH BENEFITS,CS,Comedy,Comedy,0,Medium,Low,1,CS,
CBS,FRIENDS WITH BETTER LIVES,CS,Comedy,Comedy,0,Low,Medium,0,CS,
FOX,FRINGE,GD,Drama,Drama,1,Medium,High,1,GD,
ABC,GALAVANT,CS,Comedy,Comedy,1,Medium,Medium,0,CS,
CBS,GAME SHOW IN MY HEAD,AP,Game Show,Game Show,0,Medium,Low,0,AP,
CW,"GAME, THE",CS,Comedy,Comedy,0,Medium,Low,1,CS,
CBS,GARY UNMARRIED,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
ABC,"GATES, THE",GD,Drama,Drama,1,Medium,Medium,1,GD,
ABC,GCB,GD,Drama,Drama,1,Medium,Medium,1,GD,
CBS,GHOST WHISPERER,GD,Drama,Drama,0,High,Medium,1,GD,
CBS,"GIFTED MAN, A",GD,Drama,Drama,1,Medium,Low,1,GD,
CW,GIRLFRIENDS,CS,Comedy,Comedy,0,Medium,Low,0,CS,
CW,WHAT I LIKE,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
NBC,GO ON,CS,Comedy,Comedy,0,Low,Medium,0,CS,
FOX,24,GD,Drama,Drama,1,Medium,Medium,1,GD,
CBS,GOLDEN BOY,GD,Drama,Drama,1,Low,Medium,0,GD,
FOX,BONES,GD,Drama,Drama,0,High,Medium,1,GD,
CBS,"GOOD WIFE, THE",GD,Drama,Drama,1,Low,Medium,1,GD,
CW,GOSSIP GIRL,GD,Drama,Drama,1,Medium,Medium,1,GD,
FOX,GOTHAM,GD,Drama,Drama,1,High,High,1,GD,
FOX,GRACEPOINT,GD,Drama,Drama,1,Medium,Medium,0,GD,
ABC,GREY'S ANATOMY,GD,Drama,Drama,1,High,High,1,GD,
NBC,GRIMM,GD,Drama,Drama,0,Medium,High,1,GD,
NBC,GROWING UP FISHER,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
NBC,GUYS WITH KIDS,CS,Comedy,Comedy,0,Medium,Medium,0,CS,
CW,H8R,GV,Reality,Reality,0,Medium,Low,0,GV,
ABC,HANK,CS,Comedy,Comedy,0,Low,Medium,0,CS,
NBC,HANNIBAL,GD,Drama,Drama,1,Medium,Medium,1,GD,
ABC,HAPPY ENDINGS,CS,Comedy,Comedy,0,Medium,Medium,1,CS,
ABC,HAPPY TOWN,GD,Drama,Drama,1,Medium,Low,0,GD,
CBS,HARPER'S ISLAND,GD,Drama,Drama,1,Low,Medium,1,GD,
NBC,HARRY'S LAW,GD,Drama,Drama,0,Medium,Medium,0,GD,
NBC,CHICAGO PD,GD,Drama,Drama,0,Medium,High,0,GD,
CBS,HAWAII FIVE-0,GD,Drama,Drama,0,Medium,Medium,1,GD,
NBC,E.R.,GD,Drama,Drama,0,Medium,High,0,GD,
NBC,HEROES,GD,Drama,Drama,1,High,High,1,GD,
CW,HIGH SOCIETY,GV,Reality,Reality,0,Low,Medium,0,GV,
CW,HITCHED OR DITCHED,GV,Reality,Reality,0,Medium,Low,0,GV,
CBS,HOSTAGES,GD,Drama,Drama,1,Low,Medium,1,GD,
FOX,HOUSE,GD,Drama,Drama,0,High,High,1,GD,
CBS,HOW I MET YOUR MOTHER,CS,Comedy,Comedy,0,High,Medium,1,CS,
CBS,HOW TO BE A GENTLEMAN,CS,Comedy,Comedy,0,Low,Low,1,CS,
ABC,HOW TO GET AWAY W/MURDER,GD,Drama,Drama,1,Medium,High,1,GD,
