Run,A,B,C,D,E,F,G,H,value
R1,1,1,1,1,1,1,1,1,7
R1,1,1,1,1,1,1,1,-1,12
R1,1,1,1,1,1,1,-1,1,6.5
R1,1,1,1,1,1,1,-1,-1,14
R1,1,1,1,1,1,-1,1,1,3
R1,1,1,1,1,1,-1,1,-1,14
R1,1,1,1,1,1,-1,-1,1,4
R1,1,1,1,1,1,-1,-1,-1,16.5
R10,-1,1,1,-1,1,1,1,1,9
R10,-1,1,1,-1,1,1,1,-1,19
R10,-1,1,1,-1,1,1,-1,1,17.5
R10,-1,1,1,-1,1,1,-1,-1,21
R10,-1,1,1,-1,1,-1,1,1,0.5
R10,-1,1,1,-1,1,-1,1,-1,20
R10,-1,1,1,-1,1,-1,-1,1,6.5
R10,-1,1,1,-1,1,-1,-1,-1,18
R11,-1,1,-1,1,1,1,1,1,17.5
R11,-1,1,-1,1,1,1,1,-1,20
R11,-1,1,-1,1,1,1,-1,1,10
R11,-1,1,-1,1,1,1,-1,-1,23
R11,-1,1,-1,1,1,-1,1,1,6.5
R11,-1,1,-1,1,1,-1,1,-1,21.5
R11,-1,1,-1,1,1,-1,-1,1,0
R11,-1,1,-1,1,1,-1,-1,-1,26
R12,-1,1,-1,-1,-1,1,1,1,7
R12,-1,1,-1,-1,-1,1,1,-1,23.5
R12,-1,1,-1,-1,-1,1,-1,1,1
R12,-1,1,-1,-1,-1,1,-1,-1,20
R12,-1,1,-1,-1,-1,-1,1,1,7
R12,-1,1,-1,-1,-1,-1,1,-1,22.5
R12,-1,1,-1,-1,-1,-1,-1,1,4
R12,-1,1,-1,-1,-1,-1,-1,-1,22.5
R13,-1,-1,1,1,1,1,1,1,2.5
R13,-1,-1,1,1,1,1,1,-1,22
R13,-1,-1,1,1,1,1,-1,1,12
R13,-1,-1,1,1,1,1,-1,-1,19.5
R13,-1,-1,1,1,1,-1,1,1,7
R13,-1,-1,1,1,1,-1,1,-1,27.5
R13,-1,-1,1,1,1,-1,-1,1,8.5
R13,-1,-1,1,1,1,-1,-1,-1,23.5
R14,-1,-1,1,-1,-1,1,1,1,24
R14,-1,-1,1,-1,-1,1,1,-1,26
R14,-1,-1,1,-1,-1,1,-1,1,14.5
R14,-1,-1,1,-1,-1,1,-1,-1,27.5
R14,-1,-1,1,-1,-1,-1,1,1,7
R14,-1,-1,1,-1,-1,-1,1,-1,22.5
R14,-1,-1,1,-1,-1,-1,-1,1,13
R14,-1,-1,1,-1,-1,-1,-1,-1,22
R15,-1,-1,-1,1,-1,1,1,1,5.5
R15,-1,-1,-1,1,-1,1,1,-1,27
R15,-1,-1,-1,1,-1,1,-1,1,2.5
R15,-1,-1,-1,1,-1,1,-1,-1,31
R15,-1,-1,-1,1,-1,-1,1,1,12.5
R15,-1,-1,-1,1,-1,-1,1,-1,27
R15,-1,-1,-1,1,-1,-1,-1,1,11.5
R15,-1,-1,-1,1,-1,-1,-1,-1,32.5
R16,-1,-1,-1,-1,1,1,1,1,11
R16,-1,-1,-1,-1,1,1,1,-1,21.5
R16,-1,-1,-1,-1,1,1,-1,1,12
R16,-1,-1,-1,-1,1,1,-1,-1,27
R16,-1,-1,-1,-1,1,-1,1,1,16.5
R16,-1,-1,-1,-1,1,-1,1,-1,29.5
R16,-1,-1,-1,-1,1,-1,-1,1,16
R16,-1,-1,-1,-1,1,-1,-1,-1,28.5
R2,1,1,1,-1,-1,1,1,1,13.5
R2,1,1,1,-1,-1,1,1,-1,14.5
R2,1,1,1,-1,-1,1,-1,1,5.5
R2,1,1,1,-1,-1,1,-1,-1,17
R2,1,1,1,-1,-1,-1,1,1,-7.5
R2,1,1,1,-1,-1,-1,1,-1,15
R2,1,1,1,-1,-1,-1,-1,1,-4.5
R2,1,1,1,-1,-1,-1,-1,-1,12
R3,1,1,-1,1,-1,1,1,1,3
R3,1,1,-1,1,-1,1,1,-1,11
R3,1,1,-1,1,-1,1,-1,1,5.5
R3,1,1,-1,1,-1,1,-1,-1,18
R3,1,1,-1,1,-1,-1,1,1,3
R3,1,1,-1,1,-1,-1,1,-1,19
R3,1,1,-1,1,-1,-1,-1,1,1
R3,1,1,-1,1,-1,-1,-1,-1,21
R4,1,1,-1,-1,1,1,1,1,10.5
R4,1,1,-1,-1,1,1,1,-1,14.5
R4,1,1,-1,-1,1,1,-1,1,6.5
R4,1,1,-1,-1,1,1,-1,-1,17.5
R4,1,1,-1,-1,1,-1,1,1,3
R4,1,1,-1,-1,1,-1,1,-1,14.5
R4,1,1,-1,-1,1,-1,-1,1,9
R4,1,1,-1,-1,1,-1,-1,-1,24
R5,1,-1,1,1,-1,1,1,1,10
R5,1,-1,1,1,-1,1,1,-1,23
R5,1,-1,1,1,-1,1,-1,1,3.5
R5,1,-1,1,1,-1,1,-1,-1,23
R5,1,-1,1,1,-1,-1,1,1,4.5
R5,1,-1,1,1,-1,-1,1,-1,25.5
R5,1,-1,1,1,-1,-1,-1,1,10
R5,1,-1,1,1,-1,-1,-1,-1,21
R6,1,-1,1,-1,1,1,1,1,6.5
R6,1,-1,1,-1,1,1,1,-1,22
R6,1,-1,1,-1,1,1,-1,1,14.5
R6,1,-1,1,-1,1,1,-1,-1,23
R6,1,-1,1,-1,1,-1,1,1,5.5
R6,1,-1,1,-1,1,-1,1,-1,18.5
R6,1,-1,1,-1,1,-1,-1,1,8
R6,1,-1,1,-1,1,-1,-1,-1,21.5
R7,1,-1,-1,1,1,1,1,1,5.5
R7,1,-1,-1,1,1,1,1,-1,28
R7,1,-1,-1,1,1,1,-1,1,7.5
R7,1,-1,-1,1,1,1,-1,-1,28
R7,1,-1,-1,1,1,-1,1,1,4
R7,1,-1,-1,1,1,-1,1,-1,27.5
R7,1,-1,-1,1,1,-1,-1,1,10.5
R7,1,-1,-1,1,1,-1,-1,-1,30
R8,1,-1,-1,-1,-1,1,1,1,4
R8,1,-1,-1,-1,-1,1,1,-1,14
R8,1,-1,-1,-1,-1,1,-1,1,6.5
R8,1,-1,-1,-1,-1,1,-1,-1,23
R8,1,-1,-1,-1,-1,-1,1,1,9
R8,1,-1,-1,-1,-1,-1,1,-1,25.5
R8,1,-1,-1,-1,-1,-1,-1,1,9
R8,1,-1,-1,-1,-1,-1,-1,-1,24.5
R9,-1,1,1,1,-1,1,1,1,-4
R9,-1,1,1,1,-1,1,1,-1,18.5
R9,-1,1,1,1,-1,1,-1,1,11.5
R9,-1,1,1,1,-1,1,-1,-1,26
R9,-1,1,1,1,-1,-1,1,1,-0.5
R9,-1,1,1,1,-1,-1,1,-1,13
R9,-1,1,1,1,-1,-1,-1,1,0
R9,-1,1,1,1,-1,-1,-1,-1,16.5
