V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
-1,-1,-1,-1,-1,-1,-1,-1,15.3182,15.4279,15.2657,15.4056,14.2908,14.1924,14.2714,14.1876
-1,-1,-1,-1,1,1,1,1,14.9306,14.8954,14.921,15.1349,14.803,14.7193,14.696,14.7635
-1,-1,1,1,-1,-1,1,1,14.0121,13.9386,14.2118,14.0789,13.8793,13.9213,13.8532,14.0849
-1,-1,1,1,1,1,-1,-1,14.2444,14.2573,14.3951,14.3724,13.4054,13.4788,13.5878,13.5167
-1,1,-1,1,-1,1,-1,1,14.1492,14.1654,14.1487,14.2765,14.1736,14.036,14.1398,14.0796
-1,1,-1,1,1,-1,1,-1,14.2204,14.3028,14.2689,14.4104,13.2539,13.3338,13.192,13.443
-1,1,1,-1,-1,1,1,-1,15.2969,15.5209,15.42,15.2077,14.0623,14.0888,14.1766,14.0528
-1,1,1,-1,1,-1,-1,1,15.01,15.0618,15.5724,15.4668,14.3068,14.4055,14.678,14.5811
1,-1,-1,1,-1,1,1,-1,14.9039,14.7952,14.1886,14.6254,13.7259,13.2934,12.6502,13.2666
1,-1,-1,1,1,-1,-1,1,13.7546,14.3229,14.2224,13.8209,13.8953,14.5597,14.4492,13.7064
1,-1,1,-1,-1,1,-1,1,14.1936,14.4295,15.5537,15.22,14.2201,14.3974,15.2757,15.0363
1,-1,1,-1,1,-1,1,-1,14.564,14.467,15.2293,15.1099,13.5228,13.5828,14.2822,13.8449
1,1,-1,-1,-1,-1,1,1,14.7437,14.1827,14.9695,15.5484,14.5335,14.2492,14.671,15.2799
1,1,-1,-1,1,1,-1,-1,15.8717,15.2239,14.97,16.0001,14.5676,14.031,13.7099,14.6375
1,1,1,1,-1,-1,-1,-1,14.2537,13.8368,14.1332,15.1681,12.9012,12.7071,13.1484,13.894
1,1,1,1,1,1,1,1,13.8136,14.0745,14.4313,13.6862,13.9532,14.083,14.1119,13.5963
